ID;X;Y;DEPTH
0;348202;6460000;2585.02
1;348202;6460000;2582.98
2;348202;6460000;2581.22
3;348202;6460000;2580.52
4;348202;6460000;2580.87
5;348202;6460000;2582.24
6;348202;6460000;2584.96
7;348202;6460000;2588.16
8;348202;6460000;2591.19
9;348202;6460000;2595.56
10;348202;6460000;2600.65
11;348202;6460000;2601.63
12;348202;6460000;2601.69
13;348202;6460000;2601.02
14;348202;6460000;2599.65
15;348202;6460000;2597.36
16;348202;6460000;2595.2
17;348202;6460000;2591.96
18;348202;6460000;2587.8
19;348202;6460000;2583.68
20;348202;6460000;2580.13
21;348202;6460000;2576.49
22;348202;6460000;2573.92
23;348202;6460000;2572.69
24;348302;6460000;2588.27
25;348302;6460000;2586.2
26;348302;6460000;2584.44
27;348302;6460000;2581.8
28;348302;6460000;2580.28
29;348302;6460000;2580.44
30;348302;6460000;2581.03
31;348302;6460000;2583.62
32;348302;6460000;2586.63
33;348302;6460000;2589.3
34;348302;6460000;2592.15
35;348302;6460000;2597.33
36;348302;6460000;2599.81
37;348302;6460000;2600.16
38;348302;6460000;2599.22
39;348302;6460000;2598
40;348302;6460000;2596.52
41;348302;6460000;2594.79
42;348302;6460000;2592.11
43;348302;6460000;2587.65
44;348302;6460000;2583.53
45;348302;6460000;2580.2
46;348302;6460000;2576.05
47;348302;6460000;2572.91
48;348302;6460000;2571.97
49;348402;6460000;2592.18
50;348402;6460000;2590.48
51;348402;6460000;2588.06
52;348402;6460000;2585.57
53;348402;6460000;2582.97
54;348402;6460000;2580.35
55;348402;6460000;2579.52
56;348402;6460000;2579.65
57;348402;6460000;2581.22
58;348402;6460000;2583.92
59;348402;6460000;2586.34
60;348402;6460000;2588.83
61;348402;6460000;2592.18
62;348402;6460000;2595.54
63;348402;6460000;2596.64
64;348402;6460000;2596.29
65;348402;6460000;2595.83
66;348402;6460000;2594.84
67;348402;6460000;2593.21
68;348402;6460000;2590.67
69;348402;6460000;2588.01
70;348402;6460000;2583.52
71;348402;6460000;2579.26
72;348402;6460000;2574.73
73;348402;6460000;2572.29
74;348402;6460000;2570.81
75;348402;6460000;2570.29
76;348502;6460000;2593.3
77;348502;6460000;2592.09
78;348502;6460000;2589.74
79;348502;6460000;2586.6
80;348502;6460000;2583.93
81;348502;6460000;2580.5
82;348502;6460000;2578.5
83;348502;6460000;2577.92
84;348502;6460000;2578.93
85;348502;6460000;2581.01
86;348502;6460000;2582.89
87;348502;6460000;2585.46
88;348502;6460000;2588.33
89;348502;6460000;2591.3
90;348502;6460000;2593.01
91;348502;6460000;2593.83
92;348502;6460000;2593.72
93;348502;6460000;2592.83
94;348502;6460000;2591.49
95;348502;6460000;2589.4
96;348502;6460000;2587.44
97;348502;6460000;2582.95
98;348502;6460000;2578.31
99;348502;6460000;2573.76
100;348502;6460000;2571.56
101;348502;6460000;2569.69
102;348502;6460000;2569.28
103;348602;6460000;2595.73
104;348602;6460000;2594.88
105;348602;6460000;2593.46
106;348602;6460000;2591.54
107;348602;6460000;2588.64
108;348602;6460000;2584.19
109;348602;6460000;2580.17
110;348602;6460000;2577.49
111;348602;6460000;2575.63
112;348602;6460000;2575.92
113;348602;6460000;2577.24
114;348602;6460000;2578.17
115;348602;6460000;2580.49
116;348602;6460000;2584.47
117;348602;6460000;2586.61
118;348602;6460000;2588.48
119;348602;6460000;2590.69
120;348602;6460000;2591.17
121;348602;6460000;2590.3
122;348602;6460000;2589.45
123;348602;6460000;2588
124;348602;6460000;2585.79
125;348602;6460000;2581.18
