wc;x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32;x33;x34;x35;x36;x37;x38;x39;x40;x41;x42;x43;x44;x45;x46;x47;x48;x49;x50;x51;x52;x53;x54;x55;x56;x57;x58;x59;x60;x61;x62;x63;x64;x65;x66;x67;x68;x69;x70;x71;x72;x73;x74;x75;x76;x77;x78;x79;x80;x81;x82;x83;x84;x85;x86;x87;x88;x89;x90;x91;x92;x93;x94;x95;x96;x97;x98;x99
0.137514;0.29;0.29;0.29;0.2984999999994202;0.4600000000000001;0.46;0.46;0.32000000000000006;0.32;0.31999999999999995;0.624999999998613;0.93;0.9300000000000002;0.9300000000000002;0.93;0.8899999999998182;0.77;0.34250000000051156;0.32;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.9800000000000001;0.9800000000000001;0.98;0.7299999999999999;0.73;0.73;0.73;0.73;0.73;0.86;0.8600000000000001;0.86;0.9799999999999999;0.98;0.98;0.98;0.98;0.98;0.716;0.32;0.96;0.9600000000000001;0.96;0.9599999999999999;0.96;0.9599999999999999;0.9600000000000001;1.0;1.0;1.0;1.0;0.8480000000001818;0.8399999999999999;0.84;0.84;0.33;0.33;0.4799999999999999;0.48;0.48;0.5050000000005684;0.73;0.73;0.7299999999999999;0.7;0.7;0.7;0.7;0.7;0.85;0.8500000000000001;0.85;0.85;0.85;0.85;0.85;0.85;0.31999999999999995;0.5079999999978627;0.79;0.79;0.79;0.79;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78
0.348639;0.56;0.56;0.5056000000004639;0.39;0.39;0.5819999999991269;0.63;0.63;0.72;0.72;0.72;0.72;0.72;0.7200000000000001;0.72;0.72;0.72;0.72;0.72;0.63;0.63;0.63;0.64;0.64;0.78;0.78;0.78;0.78;0.78;0.78;0.7800000000000001;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.6864000000003547;0.39;0.5916000000003274;0.75;0.75;0.85;0.8500000000000001;0.8499999999999999;0.85;0.85;0.91;0.91;0.91;0.8972000000001092;0.87;0.8699999999999999;0.7980000000000002;0.78;0.78;0.38;0.38;0.71;0.71;0.7100000000000001;0.4;0.4863999999996726;0.76;0.76;0.493599999999327;0.39;0.62;0.62;0.62;0.62;0.62;0.62;0.38;0.38;0.4311999999995635;0.54;0.54;0.54;0.6456000000001001;0.65;0.65;0.6500000000000001;0.74;0.74;0.7400000000000001;0.74;0.74;0.74;0.74;0.74;0.74;0.74;0.74;0.74;0.74;0.7400000000000001;0.74
0.418004;0.33;0.33000000000000007;0.33;0.33;0.33;0.33;0.33000000000000007;0.33;0.33;0.33;0.14;0.14;0.14;0.14;0.29340000000118055;0.73;0.73;0.73;0.73;0.73;0.73;0.73;0.7299999999999999;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.49;0.49;0.48340000000015;0.38;0.45439999999971803;0.69;0.69;0.69;0.69;0.69;0.69;0.41160000000104774;0.36999999999999994;0.37;0.37;0.81;0.8100000000000002;0.81;0.81;0.81;0.8100000000000002;0.81;0.81;0.81;0.81;0.7488999999984612;0.34;0.33999999999999997;0.34;0.5997000000001205;0.8700000000000001;0.8700000000000001;0.87;0.87;0.8699999999999999;0.87;0.67;0.67;0.67;0.67;0.67;0.33999999999999997;0.34;0.34;0.34;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7484000000006803;0.66;0.66;0.66;0.66;0.38;0.38;0.56;0.56;0.56;0.56;0.56;0.43999999999999995;0.44
0.330812;0.06;0.07620000000004092;0.15;0.15000000000000002;0.2723999999997526;0.32;0.31999999999999995;0.78;0.78;0.78;0.7800000000000001;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.4;0.4;0.4;0.6049999999990678;0.8100000000000002;0.81;0.81;0.81;0.81;0.81;0.81;0.81;0.4;0.39999999999999997;0.6016000000002293;0.8200000000000001;0.8199999999999998;0.82;0.8200000000000001;0.8199999999999998;0.8200000000000001;0.4;0.4;0.4550000000010005;0.95;0.9500000000000001;0.95;0.95;0.4;0.4;0.4;1.0;1.0;1.0;1.0;1.0;0.9208000000001637;0.8199999999999998;0.8200000000000001;0.7905999999999864;0.79;0.83;0.83;0.8299999999999998;0.83;0.8299999999999998;0.83;0.8090000000000226;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.7724000000019009;0.4000000000000001;0.4;0.607199999998654;0.77;0.7700000000000001;0.77;0.77;0.77;0.77;0.77
0.31954299999999997;0.33;0.33;0.33000000000000007;0.33;0.58;0.58;0.58;0.48500000000102317;0.33;0.32999999999999996;0.33;0.33;0.33;0.33;0.33;0.33;0.33000000000000007;0.99;0.99;0.9900000000000001;0.9900000000000001;0.99;0.99;0.99;0.9596000000006912;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.33000000000000007;0.33;0.85;0.8499999999999999;0.85;0.8500000000000001;0.8500000000000001;0.85;0.85;0.5276000000017025;0.33;0.33;0.86;0.8599999999999999;0.8600000000000001;0.8600000000000001;0.86;0.83;0.83;0.8288000000000272;0.77;0.77;0.63;0.63;0.63;0.6294000000000136;0.62;0.4128000000008913;0.33999999999999997;0.33999999999999997;0.59;0.59;0.6383999999998999;0.7;0.33;0.33000000000000007;0.8300000000000001;0.8299999999999998;0.83;0.83;0.83;0.83;0.83;0.8371999999999853;0.87;0.8700000000000001;0.8700000000000001;0.8700000000000001;0.66;0.63580000000005;0.55;0.55;0.32;0.31999999999999995;0.53;0.53;0.53;0.53;0.64;0.64;0.64;0.7;0.7;0.7;0.7;0.7
0.27749;0.29;0.29;0.29;0.29;0.2899999999999999;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.31;0.30999999999999994;0.31;0.32079999999993636;0.33;0.33;0.33;0.33;0.37;0.37;0.37;0.35160000000013825;0.33;0.32999999999999996;0.33;0.32999999999999996;0.32999999999999996;0.33;0.33;0.34900000000002274;0.38;0.38;0.38;0.38000000000000006;0.38;0.38;0.3576000000001456;0.33999999999999997;0.3268000000003602;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.010000000000000002;0.01;0.009999999999999998;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.009999999999999998;0.009999999999999998;0.01;0.01;0.01;0.010000000000000002;0.01;0.01;0.01;0.01;0.04839999999985448;0.17;0.17;0.17000000000000004;0.17;0.17;0.17;0.10280000000007276;0.01;0.01;0.01;0.01;0.009999999999999998;0.01;0.01;0.01;0.009999999999999998;0.01;0.010000000000000002;0.01;0.11;0.11000000000000001;0.11000000000000001;0.10999999999999999
0.275528;0.12;0.12;0.12;0.12;0.12;0.17200000000000001;0.38;0.38;0.38;0.38;0.38;0.38;0.38;0.38;0.4951999999995853;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.34;0.34;0.33999999999999997;0.34;0.34;0.34;0.54;0.54;0.54;0.54;0.54;0.58;0.58;0.5800000000000001;0.46159999999986534;0.21;0.21000000000000002;0.20999999999999996;0.06040000000030923;0.04;0.04;0.04;0.04000000000000001;0.039999999999999994;0.04;0.04;0.04;0.04;0.04;0.04;0.04000000000000001;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.039999999999999994;0.04;0.039999999999999994;0.04;0.04000000000000001;0.04;0.04;0.04;0.04;0.04;0.04;0.039999999999999994;0.04000000000000001;0.04;0.04;0.04;0.04;0.039999999999999994;0.04;0.04;0.04;0.04000000000000001;0.04;0.04;0.04;0.039999999999999994;0.04;0.039999999999999994;0.04;0.04;0.04;0.04;0.04
0.33908299999999997;0.24;0.38;0.40879999999975447;0.47;0.34;0.34;0.6599999999999999;0.66;0.66;0.6336000000000546;0.6;0.81;0.81;0.81;0.81;0.81;0.7652000000001309;0.73;0.6508000000001637;0.64;0.8800000000000001;0.8800000000000001;0.88;0.8800000000000001;0.88;0.88;0.88;0.32;0.32;0.65;0.65;0.51;0.51;0.5380000000002729;0.61;0.76;0.76;0.76;0.76;0.76;0.61;0.61;0.61;0.61;0.61;0.61;0.75;0.7552000000000182;0.76;0.86;0.91;0.91;0.7275999999989633;0.34;0.33999999999999997;0.34;0.57;0.57;0.57;0.46880000000020916;0.34;0.3400000000000001;0.33999999999999997;0.76;0.76;0.76;0.76;0.76;0.33;0.32999999999999996;0.33;0.33;0.6;0.6;0.5999999999999999;0.69;0.69;0.69;0.86;0.75;0.7500000000000001;0.75;0.75;0.33;0.33;0.33;0.33000000000000007;0.33;0.87;0.87;1.0;1.0;1.0;1.0;0.96;0.9600000000000001;0.96;0.92;0.9200000000000002;0.9199999999999999
0.331154;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.060000000000000005;0.06;0.05999999999999999;0.06;0.06;0.06;0.06;0.060000000000000005;0.06;0.06;0.06;0.06;0.06;0.060000000000000005;0.05999999999999999;0.06;0.44640000000076396;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.44800000000000006;0.44000000000000006;0.43999999999999995;0.44;0.44;0.44;0.44000000000000006;0.4177999999999591;0.4099999999999999;0.41;0.41;0.4099999999999999;0.4099999999999999;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04000000000000001;0.04;0.04;0.04;0.04;0.04000000000000001;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04000000000000001;0.04;0.04;0.04;0.04;0.04000000000000001;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.039999999999999994
0.220117;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.2903999999999909;0.30000000000000004;0.3;0.3;0.3;0.3;0.3;0.30000000000000004;0.36000000000000004;0.36;0.36;0.36;0.36;0.36;0.36000000000000004;0.36;0.36;0.36;0.36;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31000000000000005;0.31149999999989764;0.34;0.34;0.33999999999999997;0.3627999999999363;0.38;0.38;0.38;0.38;0.40159999999991813;0.4099999999999999;0.41;0.43;0.42999999999999994;0.43;0.3400000000004093;0.25;0.25;0.25;0.06;0.06;0.06;0.060000000000000005;0.06;0.06;0.06;0.06;0.05640000000008185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.030000000000000002;0.03;0.030000000000000002;0.03;0.028599999999992725;0.01;0.010000000000000002;0.01;0.009999999999999998;0.01;0.01;0.01;0.01;0.01;0.01
